Title,prison_rate
El Salvador,1086
Cuba,794
Rwanda,621
Turkmenistan,576
American Samoa (USA),538
United States of America,531
Panama,499
Palau,428
Bahamas,409
Guam (USA),408
Uruguay,408
Turkey,392
Brazil,389
Thailand,377
Virgin Islands (United Kingdom),368
St. Vincent and the Grenadines,347
Virgin Islands (USA),345
Belarus,345
Grenada,335
Nicaragua,332
Namibia,318
Seychelles,317
Dominica,316
Maldives,314
Costa Rica,301
Russian Federation,300
St. Kitts and Nevis,296
Cape Verde (Cabo Verde),296
Belize,289
St. Lucia,278
Trinidad and Tobago,276
Northern Mariana Islands (USA),273
Gibraltar (United Kingdom),273
Guyana,271
Cayman Islands (United Kingdom),266
French Guiana/Guyane (France),266
Georgia,264
Morocco,263
Peru,262
Curaçao (Netherlands),261
Barbados,258
Fiji,256
Chile,254
South Africa,250
Argentina,249
Martinique (France),246
Eswatini/Swaziland,243
Greenland (Denmark),241
Anguilla (United Kingdom),240
Aruba (Netherlands),238
Moldova (Republic of),237
Antigua and Barbuda,237
Taiwan,234
Bahrain,234
Paraguay,232
Gabon,228
Iran,228
Cook Islands (New Zealand),224
Dominican Republic,223
Puerto Rico (USA),221
Azerbaijan,220
Cambodia,219
Malaysia,217
Algeria,217
Poland,209
Saudi Arabia,207
New Caledonia (France),205
Macau (China),201
Bermuda (United Kingdom),200
Venezuela,199
Tunisia,196
Sint Maarten (Netherlands),196
Mauritius,194
Colombia,194
Hungary,194
Honduras,191
French Polynesia (France),189
Slovakia,187
Czech Republic,187
Guadeloupe (France),187
Brunei Darussalam,186
Jordan,185
Suriname,185
Kazakhstan,184
Mongolia,183
Myanmar (formerly Burma),183
Mayotte (France),180
Samoa,179
Iraq,179
Albania,178
Lithuania,177
Libya,176
Bolivia,175
Mexico,174
Ecuador,171
Latvia,169
Israel,168
Laos,166
Tonga,166
New Zealand,162
Philippines,162
Botswana,161
Australia,158
Singapore,156
Estonia,155
Serbia,155
Uganda,150
Montenegro,150
Bhutan,145
Lebanon,143
United Kingdom: England & Wales,141
Tajikistan,141
Nauru,140
United Kingdom: Scotland,138
Jersey (United Kingdom),135
Reunion (France),130
Vietnam,130
Guatemala,128
"Micronesia, Federated States of",127
Isle of Man (United Kingdom),126
Jamaica,125
Sri Lanka,124
Ukraine,123
Portugal,122
Romania,122
Zimbabwe,121
China,119
Zambia,118
Kyrgyzstan,117
Cameroon,116
Egypt,116
Spain,116
Guernsey (United Kingdom),115
Sao Tome e Principe,115
Malta,113
Kiribati,113
Benin,111
Tuvalu,110
Kenya,107
North Macedonia,107
Hong Kong (China),106
France,106
Luxembourg,106
Lesotho,104
United Arab Emirates,104
Kuwait,103
Republic of (South) Korea,103
Greece,102
Croatia,102
Indonesia,99
Ethiopia,99
Madagascar,98
Haiti,98
Belgium,97
United Kingdom: Northern Ireland,97
Austria,97
Italy,96
Bulgaria,93
Kosovo/Kosova,93
Cote d'Ivoire,92
"Ireland, Republic of",89
Cyprus (Republic of),87
Burundi,87
Uzbekistan,85
Canada,85
Nepal,83
Bosnia and Herzegovina: Federation,83
Angola,79
Solomon Islands,79
Malawi,76
Sweden,74
Switzerland,73
Denmark,72
Armenia,71
Djibouti,71
Slovenia,69
Germany,67
Senegal,67
Netherlands,66
Marshall Islands,66
Vanuatu,65
Equatorial Guinea,63
Mozambique,62
Syria,60
Chad,59
Togo,59
Qatar,58
South Sudan,58
Andorra,58
Papua New Guinea,58
Sierra Leone,57
Mauritania,57
Norway,57
Liberia,55
Timor-Leste (formerly East Timor),55
Sudan,52
Finland,51
Tanzania,50
Ghana,47
Bosnia and Herzegovina: Republika Srpska,46
Bangladesh,46
Oman,46
Comoros,43
India,40
Mali,40
Central African Republic,40
Niger,39
Burkina Faso,38
Pakistan,38
Iceland,37
Afghanistan,36
Japan,36
Yemen,35
Nigeria,34
Guinea (Republic of),34
Monaco,33
Guinea Bissau,31
Liechtenstein,28
Congo (Republic of),27
San Marino,26
Democratic Republic of Congo,24
Faeroe Islands (Denmark),23
Gambia,22